trade_no,symbol,entry_time,exit_time,side,exit_reason,entry_price,exit_price,quantity,pnl_usd,fee_usd,net_pnl,result,balance_after
17,PAXGUSDT,2025-04-17 02:10:00+00:00,2025-04-17 02:30:00+00:00,SHORT,TP,3350.47,3347.1195,14.923279,50.0,35.0,15.0,WIN,10255.0
18,PAXGUSDT,2025-04-17 21:15:00+00:00,2025-04-17 23:15:00+00:00,LONG,TP,3339.7,3343.0397,14.971405,50.0,35.0,15.0,WIN,10270.0
19,PAXGUSDT,2025-04-18 19:50:00+00:00,2025-04-18 20:50:00+00:00,SHORT,TP,3353.3,3349.9467,14.910685,50.0,35.0,15.0,WIN,10285.0
20,PAXGUSDT,2025-04-18 21:25:00+00:00,2025-04-19 01:40:00+00:00,SHORT,TP,3349.58,3346.2304,14.927245,50.0,35.0,15.0,WIN,10300.0
21,PAXGUSDT,2025-04-19 16:15:00+00:00,2025-04-19 17:40:00+00:00,LONG,TP,3348.8,3352.1488,14.930721,50.0,35.0,15.0,WIN,10315.0
22,PAXGUSDT,2025-04-20 09:30:00+00:00,2025-04-20 11:35:00+00:00,LONG,TP,3350.96,3354.311,14.921097,50.0,35.0,15.0,WIN,10330.0
23,PAXGUSDT,2025-04-20 16:40:00+00:00,2025-04-22 22:05:00+00:00,SHORT,TP,3348.2,3344.8518,14.933397,50.0,35.0,15.0,WIN,10345.0
24,PAXGUSDT,2025-04-23 06:25:00+00:00,2025-04-23 06:40:00+00:00,SHORT,TP,3342.5,3339.1575,14.958863,50.0,35.0,15.0,WIN,10360.0
25,PAXGUSDT,2025-04-24 11:15:00+00:00,2025-04-24 11:20:00+00:00,LONG,TP,3354.33,3357.6843,14.906106,50.0,35.0,15.0,WIN,10375.0
26,PAXGUSDT,2025-04-24 14:10:00+00:00,2025-04-25 05:40:00+00:00,SHORT,TP,3325.16,3321.8348,15.03687,50.0,35.0,15.0,WIN,10390.0
27,PAXGUSDT,2025-04-25 20:20:00+00:00,2025-04-25 20:20:00+00:00,LONG,TP,3305.4,3308.7054,15.126762,50.0,35.0,15.0,WIN,10405.0
28,PAXGUSDT,2025-04-26 08:45:00+00:00,2025-04-26 09:05:00+00:00,SHORT,TP,3307.33,3304.0227,15.117935,50.0,35.0,15.0,WIN,10420.0
29,PAXGUSDT,2025-04-26 15:10:00+00:00,2025-04-27 04:55:00+00:00,LONG,TP,3316.15,3319.4661,15.077726,50.0,35.0,15.0,WIN,10435.0
30,PAXGUSDT,2025-04-27 05:15:00+00:00,2025-04-27 15:25:00+00:00,LONG,TP,3318.16,3321.4782,15.068592,50.0,35.0,15.0,WIN,10450.0
31,PAXGUSDT,2025-04-27 15:45:00+00:00,2025-04-27 16:30:00+00:00,LONG,TP,3322.25,3325.5722,15.050041,50.0,35.0,15.0,WIN,10465.0
32,PAXGUSDT,2025-04-27 22:50:00+00:00,2025-04-27 23:00:00+00:00,SHORT,TP,3318.47,3315.1515,15.067185,50.0,35.0,15.0,WIN,10480.0
33,PAXGUSDT,2025-04-28 10:00:00+00:00,2025-05-01 00:20:00+00:00,SHORT,TP,3278.2,3274.9218,15.252273,50.0,35.0,15.0,WIN,10495.0
34,PAXGUSDT,2025-05-01 18:50:00+00:00,2025-05-01 20:05:00+00:00,LONG,TP,3240.52,3243.7605,15.429622,50.0,35.0,15.0,WIN,10510.0
35,PAXGUSDT,2025-05-02 13:15:00+00:00,2025-05-02 15:35:00+00:00,SHORT,TP,3252.66,3249.4073,15.372034,50.0,35.0,15.0,WIN,10525.0
36,PAXGUSDT,2025-05-03 09:30:00+00:00,2025-05-03 10:35:00+00:00,LONG,TP,3257.42,3260.6774,15.349571,50.0,35.0,15.0,WIN,10540.0
37,PAXGUSDT,2025-05-04 00:30:00+00:00,2025-05-04 01:00:00+00:00,SHORT,TP,3254.22,3250.9658,15.364665,50.0,35.0,15.0,WIN,10555.0
38,PAXGUSDT,2025-05-04 09:50:00+00:00,2025-05-04 12:40:00+00:00,LONG,TP,3256.61,3259.8666,15.353389,50.0,35.0,15.0,WIN,10570.0
39,PAXGUSDT,2025-05-04 16:40:00+00:00,2025-05-12 07:20:00+00:00,SHORT,TP,3251.84,3248.5882,15.37591,50.0,35.0,15.0,WIN,10585.0
40,PAXGUSDT,2025-05-12 14:35:00+00:00,2025-05-12 14:35:00+00:00,LONG,TP,3254.62,3257.8746,15.362777,50.0,35.0,15.0,WIN,10600.0
41,PAXGUSDT,2025-05-13 01:55:00+00:00,2025-05-14 11:55:00+00:00,SHORT,TP,3232.36,3229.1276,15.468574,50.0,35.0,15.0,WIN,10615.0
42,PAXGUSDT,2025-05-14 12:15:00+00:00,2025-05-14 12:15:00+00:00,SHORT,TP,3224.18,3220.9558,15.507819,50.0,35.0,15.0,WIN,10630.0
43,PAXGUSDT,2025-05-15 01:05:00+00:00,2025-05-15 13:05:00+00:00,LONG,TP,3201.38,3204.5814,15.618265,50.0,35.0,15.0,WIN,10645.0
44,PAXGUSDT,2025-05-16 02:55:00+00:00,2025-05-16 03:00:00+00:00,SHORT,TP,3225.32,3222.0947,15.502338,50.0,35.0,15.0,WIN,10660.0
45,PAXGUSDT,2025-05-16 18:05:00+00:00,2025-05-16 19:15:00+00:00,LONG,TP,3209.65,3212.8596,15.578023,50.0,35.0,15.0,WIN,10675.0
46,PAXGUSDT,2025-05-17 15:05:00+00:00,2025-05-18 02:55:00+00:00,LONG,TP,3224.27,3227.4943,15.507386,50.0,35.0,15.0,WIN,10690.0
47,PAXGUSDT,2025-05-18 08:35:00+00:00,2025-05-18 12:15:00+00:00,SHORT,TP,3216.43,3213.2136,15.545185,50.0,35.0,15.0,WIN,10705.0
48,PAXGUSDT,2025-05-18 15:45:00+00:00,2025-05-18 15:50:00+00:00,LONG,TP,3221.76,3224.9818,15.519468,50.0,35.0,15.0,WIN,10720.0
